name,birth_date,space_flight,space_walks,mission,company_name,location,datum,status_mission
Daniel C. Brandenstein,1943-01-17,789,0.0,STS-8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-09-05 03:40:00-04,Success
Guion S. Bluford Jr. ,1942-11-22,689,0.0,STS-8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-09-05 03:40:00-04,Success
Norman E. Thagard,1943-07-03,3373,0.0,STS-7,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-06-18 07:33:00-04,Success
Sally K. Ride,1951-05-26,343,0.0,STS-7,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-06-18 07:33:00-04,Success
Frederick H. Hauck,1941-04-11,435,0.0,STS-7,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-06-18 07:33:00-04,Success
John M. Fabian,1939-01-28,316,0.0,STS-7,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-06-18 07:33:00-04,Success
Paul J. Weitz,1932-06-25,793,2.0,STS-6,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-04-04 13:30:00-05,Success
Donald H. Peterson,1933-10-22,120,4.0,STS-6,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-04-04 13:30:00-05,Success
Story Musgrave,1935-08-19,1281,26.0,STS-6,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-04-04 13:30:00-05,Success
Karol J. Bobko,1937-12-23,386,0.0,STS-6,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-04-04 13:30:00-05,Success
Vance D. Brand,1931-05-09,752,0.0,STS-5,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-11-11 07:19:00-05,Success
Robert F. Overmyer,1936-07-14,290,0.0,STS-5,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-11-11 07:19:00-05,Success
William B. Lenoir,1939-03-14,122,0.0,STS-5,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-11-11 07:19:00-05,Success
Thomas K. Mattingly II ,1936-03-17,508,1.0,STS-4,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-06-27 12:09:00-04,Success
Henry W. Hartsfield Jr. ,1933-11-21,482,0.0,STS-4,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-06-27 12:09:00-04,Success
